Month,L,M,S
0,-0.3053,13.4069,0.0956
1,0.2708,14.9441,0.09027
2,0.1118,16.3195,0.08677
3,0.0068,16.8987,0.08495
4,-0.0727,17.1579,0.08378
5,-0.137,17.2919,0.08296
6,-0.1913,17.3422,0.08234
7,-0.2385,17.3288,0.08183
8,-0.2802,17.2647,0.0814
9,-0.3176,17.1662,0.08102
10,-0.3516,17.0488,0.08068
11,-0.3828,16.9239,0.08037
12,-0.4115,16.7981,0.08009
13,-0.4382,16.6743,0.07982
14,-0.463,16.5548,0.07958
15,-0.4863,16.4409,0.07935
16,-0.5082,16.3335,0.07913
17,-0.5289,16.2329,0.07892
18,-0.5484,16.1392,0.07873
19,-0.5669,16.0528,0.07854
20,-0.5846,15.9743,0.07836
21,-0.6014,15.9039,0.07818
22,-0.6174,15.8412,0.07802
23,-0.6328,15.7852,0.07786
24,-0.6473,15.7356,0.07771
25,-0.584,15.98,0.07792
26,-0.5497,15.9414,0.078
27,-0.5166,15.9036,0.07808
28,-0.485,15.8667,0.07818
29,-0.4552,15.8306,0.07829
30,-0.4274,15.7953,0.07841
31,-0.4016,15.7606,0.07854
32,-0.3782,15.7267,0.07867
33,-0.3572,15.6934,0.07882
34,-0.3388,15.661,0.07897
35,-0.3231,15.6294,0.07914
36,-0.3101,15.5988,0.07931
37,-0.3,15.5693,0.0795
38,-0.2927,15.541,0.07969
39,-0.2884,15.514,0.0799
40,-0.2869,15.4885,0.08012
41,-0.2881,15.4645,0.08036
42,-0.2919,15.442,0.08061
43,-0.2981,15.421,0.08087
44,-0.3067,15.4013,0.08115
45,-0.3174,15.3827,0.08144
46,-0.3303,15.3652,0.08174
47,-0.3452,15.3485,0.08205
48,-0.3622,15.3326,0.08238
49,-0.3811,15.3174,0.08272
50,-0.4019,15.3029,0.08307
51,-0.4245,15.2891,0.08343
52,-0.4488,15.2759,0.0838
53,-0.4747,15.2633,0.08418
54,-0.5019,15.2514,0.08457
55,-0.5303,15.24,0.08496
56,-0.5599,15.2291,0.08536
57,-0.5905,15.2188,0.08577
58,-0.6223,15.2091,0.08617
59,-0.6552,15.2,0.08659
60,-0.6892,15.1916,0.087